step,user.self,sys.self,elapsed,plot_type
TOTAL,0.025000000000005684,0.025000000000000355,0.21800000000001774,BaseR
construct,0.006000000000000227,0.006000000000000227,0.0719999999999743,lg_sctr
build,0.03999999999999204,0.012000000000000455,0.05200000000002092,lg_sctr
render,0.07899999999999352,0.008999999999999453,0.08899999999999864,lg_sctr
draw,0.08400000000000318,0.004999999999999893,0.1490000000000009,lg_sctr
TOTAL,0.20899999999998897,0.03200000000000003,0.36199999999999477,lg_sctr
construct,0.0020000000000095497,0,0.001999999999981128,sm_sctr
build,0.015000000000000568,0.005000000000000782,0.028999999999996362,sm_sctr
render,0.04999999999999716,0.012000000000000455,0.12300000000001887,sm_sctr
draw,0.031999999999996476,0.001000000000000334,0.03499999999999659,sm_sctr
TOTAL,0.09900000000000375,0.01800000000000157,0.18899999999999295,sm_sctr
construct,0.001999999999995339,0,0.001999999999981128,trans
build,0.03900000000000148,0.011999999999999567,0.05099999999998772,trans
render,0.07700000000001239,0.009000000000000341,0.08500000000000796,trans
draw,0.09600000000000364,0.017999999999999794,0.2259999999999991,trans
TOTAL,0.21400000000001285,0.0389999999999997,0.3639999999999759,trans
construct,0.0020000000000095497,0,0.0020000000000095497,many_axis
build,0.038000000000010914,0.01100000000000012,0.051000000000016144,many_axis
render,0.08100000000000307,0.008000000000000007,0.09000000000000341,many_axis
draw,0.09399999999999409,0.009999999999999787,0.1560000000000059,many_axis
TOTAL,0.21500000000001762,0.028999999999999915,0.299000000000035,many_axis
construct,0.006000000000000227,0.007000000000000561,0.0730000000000075,no_lgd
build,0.06499999999999773,0.016000000000000014,0.08199999999999363,no_lgd
render,0.06300000000000239,0.008000000000000007,0.0719999999999743,no_lgd
draw,0.08900000000001285,0.004999999999999893,0.13899999999998158,no_lgd
TOTAL,0.2230000000000132,0.036000000000000476,0.365999999999957,no_lgd
construct,0.0030000000000001137,0.002000000000000668,0.015999999999991132,sm_lgd_d
build,0.07699999999999818,0.027000000000000135,0.1640000000000157,sm_lgd_d
render,0.10699999999999932,0.009999999999999787,0.11600000000001387,sm_lgd_d
draw,0.12199999999999989,0.004999999999999893,0.17300000000000182,sm_lgd_d
TOTAL,0.3089999999999975,0.04400000000000048,0.4690000000000225,sm_lgd_d
construct,0.0040000000000048885,0.0019999999999997797,0.015999999999991132,lg_lgd_d
build,0.07699999999999818,0.025000000000000355,0.1629999999999825,lg_lgd_d
render,0.12300000000000466,0.01100000000000012,0.13399999999998613,lg_lgd_d
draw,0.13700000000000045,0.006000000000000227,0.1880000000000166,lg_lgd_d
TOTAL,0.3410000000000082,0.04400000000000048,0.5009999999999764,lg_lgd_d
construct,0.003999999999990678,0.0019999999999997797,0.016999999999995907,lgd_c
build,0.06199999999999761,0.025000000000000355,0.14800000000002456,lgd_c
render,0.08800000000000807,0.009000000000000341,0.09699999999997999,lgd_c
draw,0.10999999999999943,0.0129999999999999,0.17900000000000205,lgd_c
TOTAL,0.2639999999999958,0.04900000000000038,0.4410000000000025,lgd_c
construct,0.007999999999995566,0.006000000000000227,0.07499999999998863,fct_5
build,0.06100000000000705,0.016000000000000014,0.0759999999999934,fct_5
render,0.15399999999999636,0.011999999999999567,0.16599999999999682,fct_5
draw,0.15500000000000114,0.020999999999999908,0.29300000000000637,fct_5
TOTAL,0.3780000000000001,0.054999999999999716,0.6099999999999852,fct_5
construct,0.001999999999995339,0,9.999999999763531e-4,fct_35
build,0.12099999999999511,0.019000000000000128,0.14099999999999113,fct_35
render,0.340999999999994,0.01100000000000012,0.35200000000000387,fct_35
draw,0.25,0.009999999999999787,0.3199999999999932,fct_35
TOTAL,0.7139999999999844,0.040000000000000036,0.8139999999999645,fct_35
construct,0.0020000000000095497,0,0.0020000000000095497,ht_map
build,0.009000000000000341,0,0.009000000000014552,ht_map
render,0.05299999999999727,0,0.05299999999999727,ht_map
draw,0.07900000000000773,0.016000000000000014,0.1670000000000016,ht_map
TOTAL,0.1430000000000149,0.016000000000000014,0.23100000000002296,ht_map
