step,user.self,sys.self,elapsed,plot_type
TOTAL,0.554000000000002,0.005999999999998451,0.5679999999999836,BaseR
construct,0.005000000000009663,0.006000000000000227,0.04800000000000182,lg_sctr
build,0.060000000000002274,0.017000000000001236,0.07799999999997453,lg_sctr
render,0.11599999999999966,0.015000000000000568,0.13500000000021828,lg_sctr
draw,0.5990000000000038,0.027999999999998693,0.7530000000001564,lg_sctr
TOTAL,0.7800000000000153,0.06600000000000072,1.014000000000351,lg_sctr
construct,0.0020000000000095497,0,0.0029999999999290594,sm_sctr
build,0.013999999999995794,9.999999999994458e-4,0.015000000000100044,sm_sctr
render,0.057999999999992724,0.008000000000000895,0.10199999999986176,sm_sctr
draw,0.07500000000000284,0.008000000000000895,0.09699999999997999,sm_sctr
TOTAL,0.1490000000000009,0.017000000000001236,0.21699999999987085,sm_sctr
construct,0.002999999999985903,0,0.003000000000156433,trans
build,0.060000000000002274,0.01699999999999946,0.07699999999999818,trans
render,0.11299999999999955,0.013999999999999346,0.1310000000000855,trans
draw,0.590999999999994,0.023999999999999133,0.7369999999998527,trans
TOTAL,0.7669999999999817,0.05499999999999794,0.9480000000000928,trans
construct,0.003999999999990678,0.0039999999999995595,0.04300000000012005,many_axis
build,0.06100000000000705,0.01699999999999946,0.07899999999995089,many_axis
render,0.11699999999999022,0.016000000000000014,0.1390000000001237,many_axis
draw,0.6529999999999916,0.041999999999999815,0.8930000000000291,many_axis
TOTAL,0.8349999999999795,0.07899999999999885,1.1540000000002237,many_axis
construct,0.0030000000000001137,0,0.0029999999999290594,no_lgd
build,0.11200000000000898,0.030999999999998806,0.17499999999995453,no_lgd
render,0.09300000000000352,0.015000000000000568,0.1150000000000091,no_lgd
draw,0.7059999999999889,0.025000000000000355,0.849999999999909,no_lgd
TOTAL,0.9140000000000015,0.07099999999999973,1.1429999999998017,no_lgd
construct,0.001999999999995339,0,0.00200000000018008,sm_lgd_d
build,0.09899999999998954,0.021000000000000796,0.12000000000011823,sm_lgd_d
render,0.1909999999999883,0.038000000000000256,0.28399999999987813,sm_lgd_d
draw,0.8179999999999978,0.04100000000000037,0.98700000000008,sm_lgd_d
TOTAL,1.109999999999971,0.10000000000000142,1.3930000000002565,sm_lgd_d
construct,0.001999999999995339,0,0.003000000000156433,lg_lgd_d
build,0.10599999999999454,0.0259999999999998,0.1330000000000382,lg_lgd_d
render,0.22999999999998977,0.04699999999999882,0.34600000000000364,lg_lgd_d
draw,0.8610000000000184,0.051000000000000156,1.0779999999999745,lg_lgd_d
TOTAL,1.198999999999998,0.12399999999999878,1.5600000000001728,lg_lgd_d
construct,0.006000000000000227,0.004999999999999005,0.027000000000043656,lgd_c
build,0.07999999999998408,0.022999999999999687,0.13800000000014734,lgd_c
render,0.1220000000000141,0.016000000000000014,0.15399999999999636,lgd_c
draw,0.8849999999999909,0.03700000000000081,1.08400000000006,lgd_c
TOTAL,1.0929999999999893,0.08099999999999952,1.4030000000002474,lgd_c
construct,0.002999999999985903,0,0.0029999999999290594,fct_5
build,0.10899999999998045,0.03200000000000003,0.1950000000001637,fct_5
render,0.23599999999999,0.02400000000000091,0.28700000000003456,fct_5
draw,0.7339999999999804,0.0470000000000006,0.9279999999998836,fct_5
TOTAL,1.0819999999999368,0.10300000000000153,1.413000000000011,fct_5
construct,0.0030000000000143245,0,0.00200000000018008,fct_35
build,0.1839999999999975,0.03599999999999959,0.2540000000001328,fct_35
render,0.4800000000000182,0.04399999999999871,0.5869999999999891,fct_35
draw,0.945999999999998,0.07500000000000107,1.2169999999998709,fct_35
TOTAL,1.613000000000028,0.15499999999999936,2.060000000000173,fct_35
construct,0.001999999999981128,0,0.0019999999999527063,ht_map
build,0.012000000000000455,0,0.011999999999943611,ht_map
render,0.08199999999999363,0.006999999999999673,0.1009999999998854,ht_map
draw,0.13800000000000523,0.036999999999999034,0.31300000000010186,ht_map
TOTAL,0.23399999999998045,0.04399999999999871,0.4279999999998836,ht_map
construct,0.003999999999990678,0,0.004000000000132786,lyr2
build,0.12999999999999545,0.034000000000000696,0.16399999999998727,lyr2
render,0.16799999999997794,0.02999999999999936,0.23299999999994725,lyr2
draw,0.6299999999999955,0.010999999999999233,0.6620000000000346,lyr2
TOTAL,0.9319999999999595,0.07499999999999929,1.0630000000001019,lyr2
construct,0.009999999999990905,0.004999999999999005,0.03300000000012915,lyr3
build,25.911999999999978,0.10500000000000043,26.25499999999988,lyr3
