step,user.self,sys.self,elapsed,plot_type
TOTAL,0.19000000000000128,0.8599999999999994,1.0500000000000114,BaseR
construct,0,0,0.060000000000002274,lg_sctr
build,0.03999999999999915,0.05000000000000071,0.3100000000000023,lg_sctr
render,0.16999999999999993,0,0.18000000000000682,lg_sctr
draw,0.3899999999999988,1.7300000000000004,2.75,lg_sctr
TOTAL,0.5999999999999979,1.7800000000000011,3.3000000000000114,lg_sctr
construct,0.02999999999999936,0,0.0800000000000125,sm_sctr
build,0.009999999999999787,0,0.010000000000019327,sm_sctr
render,0.0600000000000005,0.019999999999999574,0.07999999999998408,sm_sctr
draw,0.049999999999998934,0.05000000000000071,0.18999999999999773,sm_sctr
TOTAL,0.14999999999999858,0.07000000000000028,0.36000000000001364,sm_sctr
construct,0,0,0.5099999999999909,trans
build,0.060000000000002274,0,0.060000000000002274,trans
render,0.17999999999999972,0,0.1699999999999875,trans
draw,0.28999999999999915,1.8099999999999987,2.1999999999999886,trans
TOTAL,0.5300000000000011,1.8099999999999987,2.9399999999999693,trans
construct,0,0.010000000000001563,0.27000000000001023,many_axis
build,0.05999999999999872,0,0.06999999999999318,many_axis
render,0.17999999999999972,0,0.18999999999999773,many_axis
draw,0.48999999999999844,1.6600000000000001,2.759999999999991,many_axis
TOTAL,0.7299999999999969,1.6700000000000017,3.289999999999992,many_axis
construct,0.03999999999999915,0,0.030000000000001137,no_lgd
build,0.10999999999999943,0,0.10999999999998522,no_lgd
render,0.10999999999999943,0,0.11000000000001364,no_lgd
draw,0.3000000000000007,1.8900000000000006,2.280000000000001,no_lgd
TOTAL,0.5599999999999987,1.8900000000000006,2.530000000000001,no_lgd
construct,0.030000000000001137,0.00999999999999801,0.5699999999999932,sm_lgd_d
build,0.120000000000001,0,0.21000000000000796,sm_lgd_d
render,0.16999999999999815,0,0.19999999999998863,sm_lgd_d
draw,0.38000000000000256,1.8300000000000018,2.780000000000001,sm_lgd_d
TOTAL,0.7000000000000028,1.8399999999999999,3.759999999999991,sm_lgd_d
construct,0.010000000000001563,0,0.01999999999998181,lg_lgd_d
build,0.10000000000000142,0,0.09999999999999432,lg_lgd_d
render,0.21999999999999886,0,0.21999999999999886,lg_lgd_d
draw,0.5300000000000011,1.8099999999999987,2.980000000000018,lg_lgd_d
TOTAL,0.860000000000003,1.8099999999999987,3.319999999999993,lg_lgd_d
construct,0,0,0,lgd_c
build,0.08999999999999986,0,0.11000000000001364,lgd_c
render,0.1700000000000017,0.019999999999999574,0.20000000000001705,lgd_c
draw,0.46999999999999886,2.150000000000002,3.460000000000008,lgd_c
TOTAL,0.7300000000000004,2.1700000000000017,3.7700000000000387,lgd_c
construct,0.00999999999999801,0,0.01999999999998181,fct_5
build,0.370000000000001,0,0.4200000000000159,fct_5
render,0.3200000000000003,0,0.3499999999999943,fct_5
draw,0.48999999999999844,1.9100000000000001,3.039999999999992,fct_5
TOTAL,1.1899999999999977,1.9100000000000001,3.829999999999984,fct_5
construct,0.020000000000003126,0,0.009999999999990905,fct_35
build,0.3500000000000014,0.019999999999999574,0.37999999999999545,fct_35
render,0.8200000000000003,0,0.8700000000000045,fct_35
draw,0.7199999999999989,1.8699999999999974,3.230000000000018,fct_35
TOTAL,1.9100000000000037,1.889999999999997,4.490000000000009,fct_35
construct,0,0,0,ht_map
build,0.010000000000001563,0,0.020000000000010232,ht_map
render,0.3100000000000023,0,0.3100000000000023,ht_map
draw,0.120000000000001,0.020000000000003126,0.14000000000001478,ht_map
TOTAL,0.44000000000000483,0.020000000000003126,0.4700000000000273,ht_map
construct,0.010000000000001563,0,0.10999999999998522,lyr2
build,0.23000000000000043,0,1.1100000000000136,lyr2
render,0.25,0,0.2600000000000193,lyr2
draw,0.5,1.7899999999999991,2.8999999999999773,lyr2
TOTAL,0.990000000000002,1.7899999999999991,4.3799999999999955,lyr2
construct,0.019999999999999574,0,0.010000000000019327,lyr3
build,23.18,0.03999999999999915,23.25999999999999,lyr3
render,0.28000000000000114,0,0.29000000000002046,lyr3
draw,0.4100000000000037,1.7100000000000009,2.740000000000009,lyr3
TOTAL,23.890000000000004,1.75,26.30000000000004,lyr3
construct,0,0,0,hist
build,0.1699999999999946,0,0.1699999999999875,hist
render,0.0899999999999963,0.01999999999999602,0.13999999999998636,hist
draw,0.13000000000000256,0.030000000000001137,0.6899999999999977,hist
TOTAL,0.38999999999999346,0.04999999999999716,0.9999999999999716,hist
construct,0,0,0,hist_dg
build,0.18999999999999773,0,0.19000000000002615,hist_dg
render,0.1700000000000017,0,0.1799999999999784,hist_dg
draw,0.10999999999999943,0,0.13000000000002387,hist_dg
TOTAL,0.46999999999999886,0,0.5000000000000284,hist_dg
construct,0.020000000000003126,0,0.07999999999998408,hist_mny_bns
build,0.2700000000000031,0.030000000000001137,0.75,hist_mny_bns
render,0.14000000000000057,0,0.14000000000001478,hist_mny_bns
draw,0.10999999999999943,0.030000000000001137,0.22999999999998977,hist_mny_bns
TOTAL,0.5400000000000063,0.060000000000002274,1.1999999999999886,hist_mny_bns
construct,0,0,0.5,maps_us
build,0.00999999999999801,0,0.01999999999998181,maps_us
render,0.07000000000000028,0,0.060000000000002274,maps_us
draw,0.060000000000002274,0.020000000000003126,0.1599999999999966,maps_us
TOTAL,0.14000000000000057,0.020000000000003126,0.7399999999999807,maps_us
construct,0.020000000000003126,0,0.5,maps_sts
build,0.02999999999999403,0,0.030000000000001137,maps_sts
render,0.0799999999999983,0,0.07999999999998408,maps_sts
draw,0.07000000000000028,0,0.0700000000000216,maps_sts
TOTAL,0.19999999999999574,0,0.6800000000000068,maps_sts
construct,0.10000000000000142,0,0.18999999999999773,sf_many
build,0.19000000000000483,0,0.7399999999999807,sf_many
render,0.0799999999999983,0,0.07999999999998408,sf_many
draw,0.07000000000000028,0.10999999999999943,0.9300000000000068,sf_many
TOTAL,0.44000000000000483,0.10999999999999943,1.9399999999999693,sf_many
construct,0,0,0,sf_one
build,0.30000000000000426,0,0.3100000000000023,sf_one
render,0.7199999999999989,0,0.7199999999999989,sf_one
draw,0.10999999999999943,0.10000000000000142,0.9900000000000091,sf_one
TOTAL,1.1300000000000026,0.10000000000000142,2.0200000000000102,sf_one
